代號,名稱,現金股利,當下合計殖利率,未來除息日,未來股利發放日,即將發放,平均填息天數
2308,台達電,11.6,0.52,2026/06/17 -已發放,2026/07/22 -即將發放,即將發放,2
2317,鴻海,7.172,2.89,2026/07/02 -已發放,2026/07/31 -即將發放,即將發放,13
2324,仁寶,1.1,3.49,2026/03/27 -已發放,2026/04/24 -已發放,已發放,70.5
2330,台積電,19.0,1.17,2026/06/11 (25Q4) -已發放,待公告 (26Q1),待公告 (26Q1),2.1
2347,聯強,4.2,4.75,2026/07/13 -已發放,2026/08/07 -即將發放,即將發放,50
2354,鴻準,1.5,2.73,2026/07/02 -已發放,2026/07/31 -即將發放,即將發放,4.5
2356,英業達,2.0,3.09,2026/07/15 -已發放,2026/08/05 -即將發放,即將發放,4
2357,華碩,42.0,6,2026/07/01 -已發放,2026/07/22 -即將發放,即將發放,32
2376,技嘉,12.0,3.58,2026/08/03 -即將發放,2026/08/28 -即將發放,即將發放,8.5
2377,微星,4.2,2.81,待公告,待公告,待公告,92.5
2379,瑞昱,25.0,3.31,待公告,待公告,待公告,3.5
2382,廣達,15.6,4.13,2026/07/16 (25H2) -已發放,2026/08/28 (25H2) -即將發放,即將發放 (25H2),27
2395,研華,11.16,2.08,2026/07/17 -已發放,2026/08/07 -即將發放,即將發放,2
2405,輔信,0.1,0.58,2026/07/08 (25H2) -已發放,待公告 (25H2),待公告 (25H2),1
2412,中華電,5.2,3.73,2026/07/09 -已發放,2026/08/07 -即將發放,即將發放,28
2451,創見,11.78,4.01,2026/06/25 -已發放,2026/07/31 -即將發放,即將發放,24.5
2454,聯發科,53.5,2.5,2026/07/07 (25H2) -已發放,2026/07/31 (25H2) -即將發放,即將發放 (25H2),3.5
2458,義隆,4.425,6.55,待公告,待公告,待公告,73.8
2474,可成,7.114,6.87,2026/07/06 (25H2) -已發放,2026/07/31 (25H2) -即將發放,即將發放 (25H2),14.3
2480,敦陽科,7.8,4.98,2026/06/16 -已發放,2026/07/13 -已發放,已發放,5.5
3022,威強電,3.5,3.96,待公告,待公告,待公告,217
3026,禾伸堂,5.8,0.64,2026/06/22 -已發放,2026/07/17 -即將發放,即將發放,28
3034,聯詠,23.0,4.92,2026/07/10 -已發放,2026/08/11 -即將發放,即將發放,230
3045,台灣大,4.744,4.2,2026/07/09 -已發放,2026/07/31 -即將發放,即將發放,188
3048,益登,1.0,1.55,2026/07/07 -已發放,2026/08/05 -即將發放,即將發放,1
3231,緯創,5.501,3.54,2026/07/08 -已發放,2026/07/31 -即將發放,即將發放,3
3356,奇偶,3.5,5.67,2026/06/04 -已發放,2026/06/24 -已發放,已發放,44
4938,和碩,4.009,4.31,2026/06/15 -已發放,2026/07/09 -已發放,已發放,189
5203,訊連,3.6,5.28,待公告,待公告,待公告,7
6214,精誠,6.0,4.26,2026/06/23 -已發放,2026/07/10 -已發放,已發放,13
6285,啟碁,4.302,1.66,2026/07/01 -已發放,2026/07/23 -即將發放,即將發放,1.5
6462,神盾,0.0,0,無,無,無,-
9914,美利達,2.8,3.85,待公告,待公告,待公告,3.5
9921,巨大,1.8,2.48,待公告,待公告,待公告,1.5
8272,全景軟體,2.8,4.03,2026/06/29 -已發放,2026/07/21 -即將發放,即將發放,1
8299,群聯,16.96,1.45,2026/06/30 (25H2) -已發放,2026/07/30 (25H2) -即將發放,即將發放 (25H2),5.8
5434,崇越,13.42,2.64,2026/07/16 -已發放,2026/08/12 -即將發放,即將發放,2
6526,達發,13.5,1.97,2026/07/07 -已發放,2026/07/31 -即將發放,即將發放,3.5
2301,光寶科,3.0,3.53,待公告,待公告,待公告,15.5
3035,智原,1.8,0.89,2026/06/16 -已發放,2026/07/17 -即將發放,即將發放,1
5269,祥碩,45.38,3.07,2026/07/21 -即將發放,2026/08/14 -即將發放,即將發放,1
6669,緯穎,144.4,2.81,2026/06/22 -已發放,2026/07/17 -已發放,已發放,5
6695,芯鼎,0.0,0,無,無,無,-
6561,是方,7.699,4.57,2026/07/08 (25H2) -已發放,2026/07/30 (25H2) -即將發放,即將發放 (25H2),16.5
7765,中華資安,9.666,3.87,2026/06/18 -已發放,2026/07/17 -已發放,已發放,10
3150,鈺寶-創,0.5,2.77,2026/07/14 -已發放,2026/08/07 -即將發放,即將發放,6
2646,星宇航空,0.0,0,無,無,無,-
4953,緯軟,5.141,4.11,2026/06/30 -已發放,2026/07/24 -即將發放,即將發放,12.5
6231,系微,5.7,2.2,2026/07/22 -即將發放,2026/08/13 -即將發放,即將發放,12
9917,中保科,5.7,4.91,2026/06/24 -已發放,2026/07/16 -已發放,已發放,235
3558,神準,3.0,2.07,待公告,待公告,待公告,1.5
2450,神腦,1.55,5,2026/06/17 -已發放,2026/07/15 -已發放,已發放,127
2303,聯電,2.608,1.68,2026/07/08 -已發放,2026/07/30 -即將發放,即將發放,35.5
7708,全家餐飲,5.5,5.86,2026/07/30 -即將發放,2026/09/04 -即將發放,即將發放,7
6613,朋億,10.0,3.55,2026/06/29 (25H2) -已發放,2026/07/17 (25H2) -即將發放,即將發放 (25H2),72.8
7703,銳澤,7.0,3.44,2026/06/15 -已發放,2026/07/03 -已發放,已發放,1.5
2353,宏碁,1.3,3.34,2026/06/17 -已發放,2026/07/16 -已發放,已發放,57
3158,嘉實,6.5,6.53,2026/03/30 -已發放,2026/04/27 -已發放,已發放,2
6035,悠遊卡,2.277,4.3,2026/07/17 -已發放,2026/08/14 -即將發放,即將發放,-
7722,LINEPAY,1.5,0.45,2026/06/15 -已發放,2026/07/06 -已發放,已發放,1
5904,寶雅,25.5,3.54,2026/07/16 -已發放,2026/08/07 -即將發放,即將發放,150
6182,合晶,0.0,0,無,無,無,1
6962,奕力-KY,1.0,2.78,2026/07/30 -即將發放,2026/08/26 -即將發放,即將發放,-
7705,三商餐飲,1.6,4.86,2026/07/06 -已發放,2026/07/31 -即將發放,即將發放,-
3014,聯陽,8.502,5.54,2026/07/09 -已發放,2026/08/06 -即將發放,即將發放,28
6720,久昌,3.5,2.02,2026/03/19 -已發放,2026/04/22 -已發放,已發放,51
6757,台灣虎航,2.42,4.16,2026/07/28 -即將發放,2026/08/28 -即將發放,即將發放,-
7794,宏碁智新,1.6,3.14,2026/03/26 -已發放,2026/04/23 -已發放,已發放,1
6996,力領科技,10.0,5.22,2026/04/23 -已發放,2026/05/29 -已發放,已發放,110.5
8016,矽創,11.5,3.97,2026/06/15 -已發放,2026/07/09 -已發放,已發放,8
8045,達運光電,1.0,1.7,2026/06/29 -已發放,2026/07/24 -即將發放,即將發放,1
7704,明遠精密,1.8,2.99,2026/06/09 -已發放,2026/07/03 -已發放,已發放,2
6997,博弘,4.6,6.35,2026/08/05 -即將發放,2026/09/03 -即將發放,即將發放,24
4749,新應材,8.0,0.86,2026/06/11 -已發放,2026/07/08 -已發放,已發放,1
7747,昕奇雲端,3.0,2.33,2026/07/10 -已發放,2026/08/11 -即將發放,即將發放,3
6123,上奇,2.6,7.57,待公告,待公告,待公告,17
6425,易發,0.989,1.35,2026/07/01 -已發放,2026/07/27 -即將發放,即將發放,1
7712,博盛半導體,4.0,2.16,待公告,待公告,待公告,1
6811,宏碁資訊,10.5,4.67,2026/06/25 -已發放,2026/07/23 -即將發放,即將發放,15
3029,零壹,5.5,4.66,2026/03/19 -已發放,2026/04/13 -已發放,已發放,1
6690,安碁資訊,9.0,5.19,2026/06/25 -已發放,2026/07/23 -即將發放,即將發放,2
6763,綠界科技,3.0,6.11,2026/07/13 (25H2) -已發放,2026/08/07 (25H2) -即將發放,即將發放 (25H2),1
6751,智聯服務,3.0,6.06,2026/06/25 -已發放,2026/07/23 -即將發放,即將發放,1
6442,光聖,11.26,0.76,2026/07/15 -已發放,2026/08/11 -即將發放,即將發放,1.5
8454,富邦媒,10.0,2.22,2026/06/11 -已發放,2026/07/14 -已發放,已發放,239
2332,友訊,0.0,0,無,無,無,1
7805,威聯通,38.0,5.88,待公告,待公告,待公告,16
5536,聖暉,20.0,1.7,2026/07/06 (25H2) -已發放,2026/07/24 (25H2) -即將發放,即將發放 (25H2),1.2
6125,廣運,0.5,0.86,待公告,待公告,待公告,1
2359,所羅門,1.0,0.72,2026/07/13 (25H2) -已發放,2026/07/29 (25H2) -即將發放,即將發放 (25H2),1
6506,雙邦,1.0,5.33,2026/07/23 -即將發放,2026/08/21 -即將發放,即將發放,21
3293,鈊象,36.0,4.68,2026/07/08 (25H2) -已發放,2026/08/07 (25H2) -即將發放,即將發放 (25H2),1
5274,信驊,80.0,0.46,2026/06/26 -已發放,2026/07/31 -即將發放,即將發放,2.5
2603,長榮,16.0,7.26,2026/06/17 -已發放,2026/07/17 -即將發放,即將發放,-
7547,碩網,1.8,3.13,待公告,待公告,待公告,1
7734,印能科技,19.85,0.62,2026/07/06 -已發放,2026/07/30 -即將發放,即將發放,66
7736,虎山,3.8,4.58,2026/03/26 -已發放,2026/04/17 -已發放,已發放,9
7728,光焱科技,5.0,0.71,2026/06/25 -已發放,2026/07/22 -即將發放,即將發放,1
7732,金興精密,1.5,4.09,2026/03/26 -已發放,2026/04/28 -已發放,已發放,24
7769,鴻勁,64.99,0.98,待公告,待公告,待公告,1
2383,台光電,25.0,0.47,待公告,待公告,待公告,2
7709,榮田,1.5,1.27,2026/06/17 -已發放,2026/07/16 -已發放,已發放,73.5
7713,威力德生醫,4.1,5.58,2026/03/27 -已發放,2026/04/27 -已發放,已發放,25.5
3260,威剛,17.0,6.48,待公告,待公告,待公告,22
